state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
MN,Murray,0.77777777777777779,54,MN,Murray,0.15426525901711818,310959216,MN,Murray,6.0227584000000007,MN,Murray,2.5084379930106704,2277,MN,Murray,2077,MN,Murray
MN,Sibley,0.79120879120879117,91,MN,Sibley,0.14494153457102862,524023864,MN,Sibley,9.686220800000001,MN,Sibley,2.78879349583516,10359,MN,Sibley,10680,MN,Sibley
MN,McLeod,0.61603375527426163,474,MN,McLeod,0.266546934884008,2729530896,MN,McLeod,14.833937480948823,MN,McLeod,3.6043371225037442,50952,MN,McLeod,57538,MN,McLeod
MN,Goodhue,0.78328611898017,706,MN,Goodhue,0.15044140344658055,4065503824,MN,Goodhue,7.6607035677439477,MN,Goodhue,1.5215621473671124,52038,MN,Goodhue,51751,MN,Goodhue
MN,Itasca,0.38554216867469882,332,MN,Itasca,0.42655273427022439,1911823328,MN,Itasca,40.0162816,MN,Itasca,19.351765228514115,29424,MN,Itasca,28115,MN,Itasca
MN,Crow Wing,0.5125,960,MN,Crow Wing,0.338419411968803,5528163840,MN,Crow Wing,23.846837299327515,MN,Crow Wing,8.8857531304474087,81372,MN,Crow Wing,77351,MN,Crow Wing
MN,Carver,0.45484477892756348,2126,MN,Carver,0.37844330122473185,12242579504,MN,Carver,31.133081008379847,MN,Carver,5.6518528486545057,228688,MN,Carver,182698,MN,Carver
MN,Aitkin,0.80246913580246915,81,MN,Aitkin,0.13712467468188283,466438824,MN,Aitkin,5.7475072,MN,Aitkin,0.59384021829706535,8631,MN,Aitkin,8260,MN,Aitkin
MN,Roseau,0.80373831775700932,107,MN,Roseau,0.13624361660857634,616159928,MN,Roseau,10.146066381627159,MN,Roseau,2.6213350025615108,10847,MN,Roseau,8569,MN,Roseau
MN,Dakota,0.47727737973387924,9770,MN,Dakota,0.36287073184256924,56260584080,MN,Dakota,26.479191133664031,MN,Dakota,5.9278395278631768,795319,MN,Dakota,675956,MN,Dakota
MN,Carlton,0.68336673346693388,499,MN,Carlton,0.21980480793821849,2873493496,MN,Carlton,11.026274063134188,MN,Carlton,3.2829205286233512,40035,MN,Carlton,34267,MN,Carlton
MN,Waseca,0.86335403726708071,161,MN,Waseca,0.0948587617558677,927119144,MN,Waseca,7.3531392,MN,Waseca,4.1218213041865575,18180,MN,Waseca,14769,MN,Waseca
MN,Cook,0.58974358974358976,78,MN,Cook,0.284797401262372,449163312,MN,Cook,19.57770232100026,MN,Cook,31.27790084337256,7638,MN,Cook,7568,MN,Cook
MN,Todd,0.680327868852459,122,MN,Todd,0.22191436850413312,702537488,MN,Todd,10.642263900485768,MN,Todd,3.6109833897114134,9428,MN,Todd,9556,MN,Todd
MN,Lake of the Woods,0.78947368421052633,38,MN,Lake of the Woods,0.14614603485832248,218823152,MN,Lake of the Woods,8.2549042872430753,MN,Lake of the Woods,37.252241593857512,2563,MN,Lake of the Woods,1787,MN,Lake of the Woods
MN,Watonwan,0.7567567567567568,37,MN,Watonwan,0.16885791865387259,213064648,MN,Watonwan,9.0214851280705375,MN,Watonwan,2.8833846149985529,6558,MN,Watonwan,6506,MN,Watonwan
MN,Washington,0.30774697938877044,4221,MN,Washington,0.480557661884882,24306645384,MN,Washington,62.409932799999993,MN,Washington,6.1906658786650359,440929,MN,Washington,395946,MN,Washington
MN,Renville,0.75757575757575757,132,MN,Renville,0.16828937347321984,760122528,MN,Renville,9.0511416923034584,MN,Renville,3.7465922083276486,21994,MN,Renville,25831,MN,Renville
MO,DeKalb,0.2608695652173913,46,MO,DeKalb,0.51309966586128442,264891184,MO,DeKalb,64.164899222635725,MO,DeKalb,23.110465471935626,2326,MO,DeKalb,2127,MO,DeKalb
MO,Knox,0.78947368421052633,19,MO,Knox,0.14614603485832248,109411576,MO,Knox,9.6618277016243237,MO,Knox,1.5717179244794945,1630,MO,Knox,2271,MO,Knox
MO,Chariton,0.7142857142857143,35,MO,Chariton,0.19834104730772337,201547640,MO,Chariton,8.6514160402731921,MO,Chariton,2.9426703186654253,4205,MO,Chariton,3951,MO,Chariton
MO,Webster,0.88888888888888884,207,MO,Webster,0.077132629508559092,1192010328,MO,Webster,6.4159744,MO,Webster,0.63866555641821987,19586,MO,Webster,19013,MO,Webster
MO,Shelby,0.92,25,MO,Shelby,0.055535493246162547,143962600,MO,Shelby,4.1644490577916615,MO,Shelby,1.4256648112923227,2107,MO,Shelby,2133,MO,Shelby
MO,Buchanan,0.58345021037868161,713,MO,Buchanan,0.28916622535256442,4105813352,MO,Buchanan,15.255874294627525,MO,Buchanan,8.5350197786847914,77509,MO,Buchanan,65985,MO,Buchanan
MO,Pemiscot,0.888268156424581,179,MO,Pemiscot,0.077563538053299644,1030772216,MO,Pemiscot,6.4290816,MO,Pemiscot,0.778603258384643,7846,MO,Pemiscot,7494,MO,Pemiscot
MO,Grundy,0.85858585858585856,99,MO,Grundy,0.098168801192711569,570091896,MO,Grundy,11.434060358846171,MO,Grundy,4.1436585181308185,10593,MO,Grundy,116745,MO,Grundy
MO,Linn,0.85046728971962615,107,MO,Linn,0.10380466027320102,616159928,MO,Linn,7.603655315312313,MO,Linn,0.90806093378247932,6581,MO,Linn,6700,MO,Linn
MO,Dade,0.78125,32,MO,Dade,0.15185486434497572,184272128,MO,Dade,5.3701952357464862,MO,Dade,3.1295347588009395,2519,MO,Dade,2499,MO,Dade
MO,St. Francois,0.610126582278481,395,MO,St. Francois,0.27064765695914655,2274609080,MO,St. Francois,13.9264,MO,St. Francois,5.9287537113898559,47919,MO,St. Francois,43159,MO,St. Francois
MO,Howard,0.82258064516129037,62,MO,Howard,0.12316339227979596,357027248,MO,Howard,5.2181109122932963,MO,Howard,3.62690247628682,7675,MO,Howard,7134,MO,Howard
MO,Texas,0.92929292929292928,99,MO,Texas,0.049084400596355784,570091896,MO,Texas,4.6612030260291748,MO,Texas,1.3106706344052044,8318,MO,Texas,8581,MO,Texas
MO,Daviess,0.73684210526315785,19,MO,Daviess,0.18268254357290312,109411576,MO,Daviess,8.274373927178015,MO,Daviess,0.7426473596756854,3166,MO,Daviess,2938,MO,Daviess
MO,Osage,0.88666666666666671,150,MO,Osage,0.078675282098730273,863775600,MO,Osage,4.9047308581302778,MO,Osage,1.3106603678263054,14856,MO,Osage,15800,MO,Osage
MO,Vernon,0.65833333333333333,120,MO,Vernon,0.23718283573881921,691020480,MO,Vernon,14.856070498684165,MO,Vernon,2.9814068146025647,10406,MO,Vernon,11339,MO,Vernon
MO,Hickory,1.0,31,MO,Hickory,0.0,178513624,MO,Hickory,5.3477375999999994,MO,Hickory,2.1922465176483135,5833,MO,Hickory,5020,MO,Hickory
MO,Pettis,0.73626373626373631,273,MO,Pettis,0.18308404366866773,1572071592,MO,Pettis,5.5332171578229108,MO,Pettis,2.2906468949536909,40937,MO,Pettis,32399,MO,Pettis
MO,Saline,0.78861788617886175,123,MO,Saline,0.1467401244309173,708295992,MO,Saline,11.213516518301768,MO,Saline,12.931811734999963,13597,MO,Saline,15696,MO,Saline
MO,Warren,0.82962962962962961,405,MO,Warren,0.11827003191312394,2332194120,MO,Warren,6.3373312,MO,Warren,1.2443553705671817,29469,MO,Warren,25930,MO,Warren
MO,Schuyler,0.88571428571428568,35,MO,Schuyler,0.079336418923089347,201547640,MO,Schuyler,8.1133568,MO,Schuyler,1.0176925944503674,2117,MO,Schuyler,2565,MO,Schuyler
MO,Randolph,0.53723404255319152,188,MO,Randolph,0.32124919630426474,1082598752,MO,Randolph,19.476142376303148,MO,Randolph,7.0684449342636189,16536,MO,Randolph,15269,MO,Randolph
MO,Reynolds,0.97619047619047616,42,MO,Reynolds,0.016528420608976947,241857168,MO,Reynolds,2.424832,MO,Reynolds,1.3929368018385606,2745,MO,Reynolds,2970,MO,Reynolds
MO,Mercer,0.84848484848484851,33,MO,Mercer,0.1051808584207624,190030632,MO,Mercer,13.267487080387298,MO,Mercer,7.1380442518796992,2139,MO,Mercer,2335,MO,Mercer
MO,Cole,0.77368738684369343,1657,MO,Cole,0.15710478249329327,9541841128,MO,Cole,7.2013037093778358,MO,Cole,1.1590977918906995,172085,MO,Cole,152756,MO,Cole
MO,Perry,0.58241758241758246,91,MO,Perry,0.28988306914205725,524023864,MO,Perry,8.8685150135788149,MO,Perry,3.1626002618682683,9876,MO,Perry,9607,MO,Perry
MO,Worth,0.90909090909090906,44,MO,Worth,0.063108515052457431,253374176,MO,Worth,12.904038400000001,MO,Worth,9.17475035037983,927,MO,Worth,932,MO,Worth
MO,Cedar,0.88372093023255816,43,MO,Cedar,0.080720193671747889,247615672,MO,Cedar,5.8747127514678992,MO,Cedar,2.1786344853980437,6296,MO,Cedar,5668,MO,Cedar
MO,Marion,0.59259259259259256,189,MO,Marion,0.28281964153138334,1088357256,MO,Marion,13.691344804566695,MO,Marion,6.5662287210797761,13638,MO,Marion,12058,MO,Marion
