state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
SD,Roberts,0.83823529411764708,68,SD,Roberts,0.15714285714285714,70,SD,Roberts,0.6470588235294118,68,SD,Roberts,0.085714285714285715,70,SD,Roberts,3.6628875057304451,SD,Roberts,5.0516078532744428,10297,SD,Roberts,9349,SD,Roberts
SD,Day,0.76470588235294112,17,SD,Day,0.47058823529411764,17,SD,Day,0.52941176470588236,17,SD,Day,0.29411764705882354,17,SD,Day,9.7735636457620121,SD,Day,3.9889509249822832,1838,SD,Day,1858,SD,Day
SD,Dewey,0.97478991596638653,119,SD,Dewey,0.67543859649122806,114,SD,Dewey,0.54621848739495793,119,SD,Dewey,0.631578947368421,114,SD,Dewey,9.6212059867925177,SD,Dewey,0.58008592608706255,13426,SD,Dewey,13581,SD,Dewey
SD,Tripp,0.8214285714285714,28,SD,Tripp,0.30769230769230771,26,SD,Tripp,0.5,28,SD,Tripp,0.19230769230769232,26,SD,Tripp,9.2414157504928767,SD,Tripp,13.762037184501402,4304,SD,Tripp,4431,SD,Tripp
SD,Kingsbury,0.0,30,SD,Kingsbury,0.0,30,SD,Kingsbury,0.0,30,SD,Kingsbury,0.0,30,SD,Kingsbury,87.167799775897777,SD,Kingsbury,70.55897797974896,2645,SD,Kingsbury,2584,SD,Kingsbury
SD,Lincoln,0.55795148247978432,371,SD,Lincoln,0.28672985781990523,422,SD,Lincoln,0.2884097035040431,371,SD,Lincoln,0.15402843601895735,422,SD,Lincoln,22.295376447153838,SD,Lincoln,7.9361401170689341,46491,SD,Lincoln,42092,SD,Lincoln
SD,Bon Homme,0.95,20,SD,Bon Homme,0.83333333333333337,18,SD,Bon Homme,0.75,20,SD,Bon Homme,0.83333333333333337,18,SD,Bon Homme,5.0407610036134027,SD,Bon Homme,0.69369255069720037,2006,SD,Bon Homme,2148,SD,Bon Homme
SD,Spink,0.83333333333333337,6,SD,Spink,0.83333333333333337,6,SD,Spink,0.5,6,SD,Spink,0.33333333333333331,6,SD,Spink,9.9685615107500549,SD,Spink,2.0359277208983428,1104,SD,Spink,1109,SD,Spink
SD,Campbell,0.5,4,SD,Campbell,0.0,4,SD,Campbell,0.25,4,SD,Campbell,0.0,4,SD,Campbell,11.3770496,SD,Campbell,53.481127857445109,294,SD,Campbell,304,SD,Campbell
SD,Ziebach,1.0,1,SD,Ziebach,1.0,2,SD,Ziebach,1.0,1,SD,Ziebach,1.0,2,SD,Ziebach,3.9059456,SD,Ziebach,0.0,340,SD,Ziebach,373,SD,Ziebach
SD,Hanson,1.0,19,SD,Hanson,0.6875,16,SD,Hanson,0.631578947368421,19,SD,Hanson,0.1875,16,SD,Hanson,7.1892992000000007,SD,Hanson,1.9976912233845241,2273,SD,Hanson,2162,SD,Hanson
SD,Gregory,0.72058823529411764,68,SD,Gregory,0.52941176470588236,68,SD,Gregory,0.22058823529411764,68,SD,Gregory,0.10294117647058823,68,SD,Gregory,19.907664356778483,SD,Gregory,2.8849484149719831,3325,SD,Gregory,3526,SD,Gregory
SD,Perkins,0.81578947368421051,38,SD,Perkins,0.82051282051282048,39,SD,Perkins,0.21052631578947367,38,SD,Perkins,0.10256410256410256,39,SD,Perkins,13.954994901844248,SD,Perkins,2.3381432290883049,2383,SD,Perkins,2404,SD,Perkins
