cbsa,city, population ,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitymay19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdmay19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,age18to24,age25to44,age45to54,age55to64,age65to74,age75over,pctpoverty,pctblack,pctasian,pctnatandpacific,pcthispanic,pctforeignborn,pctagriculture,pctconstruction,pctmanufacturing,pctwholesale,pctretail,pcttransportation,pctinformation_technology,pctfinance,pctprofessional,pcteducation,pctentertainment,pctpublic,pctbroadband,pctbroadband_poorpeople,pcths,pctcollege,prosperityindex2016,prosperityindex2007,change_prosperity,medinc2016,medinc2017,change_medianincome,smallbusiness_per_100
33700,"Modesto, CA Metro Area"," 535,684 ",3.142470837,3.093728542,3.343225241,3.440629721,3.514426231,3.571609678,3.609906912,3.599414587,0.574458361,0.583202044,0.604886293,0.608383775,0.691973139,0.638287076,0.678682793,0.677458663,9.9,26.8,12.6,11.1,7.1,5.2,17.2,2.8,5.5,1.399999976,45,20.15236664,5.499647141,7.666340351,12.19698906,4.109245777,13.17828751,6.100089073,1.146670938,3.516093016,8.602082253,21.43094635,8.370196342,3.413589716,79.27202606,55.20000076,28.2,11.3,47.90023702,32.59170325,15.30853356,51591,54260,2669,5.604482124
33740,"Monroe, LA Metro Area"," 178,970 ",1.425748944,1.426798344,1.477247,1.481781363,1.492469668,1.49441293,1.489230752,1.489554644,0.279190272,0.278866394,0.289554656,0.298299611,0.310931168,0.285668018,0.296032382,0.297327922,10.1,25.8,12.3,12.4,8.1,6.1,24.2,36,0.9,0.200000003,2.5,1.671788692,2.141118526,6.498989105,7.688499451,2.781941414,12.21276379,4.749790192,3.857313871,6.831777096,7.185192108,27.48800087,9.049904823,4.797920704,65.35124207,38.5,35.7,15.3,26.58484949,32.36263926,-5.777789765,38656,39904,1248,7.420791383
33780,"Monroe, MI Metro Area"," 149,619 ",3.12215066,3.228313923,3.245602369,3.26353097,3.204110384,3.218965497,3.218453169,3.213330746,0.598305464,0.631089316,0.658238471,0.660799742,0.712536741,0.6669467,0.681801885,0.69255908,8.3,23.2,14.9,15.2,9.5,6.8,11.2,2.3,0.6,0.400000006,3.5,2.103342533,1.229679942,6.115165234,21.73542404,1.914601564,10.05129719,8.154035568,1.187775493,4.096524715,7.026948929,23.38414764,8.51239109,2.355321169,77.58473969,52.59999847,36.1,12.4,62.53724178,52.33075907,10.20648271,56968,59479,2511,4.635527305
33860,"Montgomery, AL Metro Area"," 373,507 ",1.963336825,1.968704581,2.129626989,2.206501007,2.116027355,2.207770085,2.11358428,2.169425249,0.403102666,0.422821562,0.447645903,0.468677491,0.502918568,0.503125725,0.493146386,0.489481818,9.9,26.9,13.2,12.5,8.2,5.8,18.5,44.3,1.8,0.200000003,3.1,3.356295824,0.698755383,5.082532406,12.02985668,2.197768211,11.5322485,4.606586456,1.489729047,6.056704998,9.499731064,20.77636719,9.430412292,11.15470982,75.38924408,49.90000153,29,17.3,40.58168386,38.41709066,2.18372321,47614,49089,1475,5.992183672
33940,"Montrose, CO Micro Area"," 40,908 ",4.653087139,4.730401039,4.752377033,4.495125771,4.582380772,4.556805819,4.633529663,4.601937771,0.892104924,0.944957752,0.961307049,0.94174993,1.003429946,0.991394875,0.974846538,0.959802605,6.9,21.2,12.6,15.2,12.4,9.4,17.8,0.4,0.8,1.200000048,20.5,7.020631313,6.059717178,12.24848938,7.743298054,2.18806839,11.8085289,4.528656006,1.014841318,4.29987669,7.983809471,20.49040794,9.866838455,6.54074049,72.07834625,49,33.5,15.7,39.76137511,41.77680038,-2.015425273,43890,44865,975,10.59862504
33980,"Morehead City, NC Micro Area"," 68,699 ",4.584131718,4.475980759,4.68699646,4.648803234,4.61269331,4.630544282,4.630544186,4.641254902,1.048447609,1.11318152,1.099242091,1.076565027,1.1055707,1.072248872,1.075819042,1.054397877,6.7,22,13.9,16.3,13.8,8.9,12.5,5.7,1.1,0.300000012,4.2,3.681276321,2.378895521,8.093561172,5.923981667,1.628015161,13.37630367,4.292644024,1.255897403,5.950561523,9.834540367,20.95488167,12.05063438,9.203269005,79.43333435,56.79999924,25.7,15.7,42.56285779,41.65551471,1.20644999,50599,51584,985,7.862348483
34020,"Morgan City, LA Micro Area"," 52,578 ",0.780704975,0.626380086,0.854899585,0.867080808,0.834966719,0.839396251,0.821678162,0.828322411,0.14838931,0.165000069,0.163892671,0.165000051,0.181610789,0.182718183,0.182718178,0.173859124,8.7,25.3,13.4,13.2,8.7,6.2,19.5,31.1,1.4,1.100000024,6.8,4.089162827,9.229310036,5.269148827,14.40834713,2.65117383,11.15010643,5.25017786,1.005454063,3.879535198,6.345743656,17.97486305,12.67725849,4.747450829,66.27895355,41.90000153,48.9,7.5,10.32232626,27.68900642,-17.36668015,40771,41345,574,6.274275366
34060,"Morgantown, WV Metro Area"," 137,475 ",1.483995676,1.477084041,1.565519571,1.569741964,1.555126071,1.544083033,1.553826928,1.547980547,0.358900249,0.382206014,0.381636024,0.395602256,0.400799001,0.379362415,0.380661618,0.387157546,18.7,28,11.5,11.7,7.7,5.3,19.8,3.9,2.5,0.200000003,2.1,4.296053886,4.582048416,6.245946884,6.666666508,1.736654758,10.7758007,3.769078732,1.428232551,3.601423502,9.1720047,33.72400284,9.928034782,4.789244652,79.3468399,63.09999847,34.6,17.1,42.56379089,49.94661142,-7.340996611,46484,48622,2138,4.970259086
34100,"Morristown, TN Metro Area"," 116,352 ",1.825646043,1.78990984,1.950257778,1.990799308,1.966901064,1.967327873,1.971168637,1.956232309,0.398586601,0.415229918,0.436567545,0.432726771,0.443822332,0.425898744,0.431019766,0.428886013,8.6,23.6,14.2,13.4,11,7.3,17.1,3,0.8,0.200000003,7.8,4.322228909,1.701426983,6.252795219,22.28930283,2.549091339,12.99752045,5.230312824,1.152579546,3.904947758,6.805707932,20.08171654,9.568240166,3.083709478,67.12430573,39,39.7,10.2,35.64058639,22.41710255,13.22348374,41432,43683,2251,4.153521314
34140,"Moscow, ID Micro Area"," 38,697 ",4.474836349,4.455071449,4.621798515,4.55581522,4.543818474,4.549817097,4.540819168,4.552816391,1.169695854,1.139703951,1.199688077,1.139703631,1.217683498,1.181692784,1.169695891,1.163697429,25.8,23.3,9.6,10.6,7.3,4.7,22.5,0.7,2.7,0.899999976,4.2,5.196784973,4.942985535,4.901140213,6.941102505,1.255361438,12.25546646,1.909195542,1.422742963,3.66147089,8.457997322,38.72267151,9.148446083,3.478397369,81.8487854,70.80000305,19,26.9,56.58607607,53.12087185,3.465204217,42133,43310,1177,7.299830322
34180,"Moses Lake, WA Micro Area"," 93,420 ",2.2416749,2.334218979,2.364103794,2.416748285,2.410626888,2.39960826,2.443682671,2.469392776,0.430950046,0.412585675,0.464005888,0.483594507,0.522771804,0.483594525,0.493388809,0.505631743,9.8,24.9,11.3,11,7.7,5.2,15.9,0.7,1.1,1.299999952,40.7,19.06765175,24.67285538,4.098194122,12.56847191,2.41174674,7.968147755,5.533576965,1.120916963,3.672144413,5.80493021,18.50273895,6.172651768,4.412659645,74.79679871,53.09999847,26.6,10.9,39.01805684,40.03389077,-1.078807657,50145,52382,2237,6.982656637
34220,"Moultrie, GA Micro Area"," 45,890 ",0.986300528,0.836558044,1.042185903,1.058800459,1.084477425,1.089008727,1.111664891,1.114685774,0.199374691,0.197864295,0.209947586,0.214478835,0.246197521,0.228072564,0.231093401,0.23713503,9,25.9,12.8,11.5,8.4,5.8,25.4,22.7,0.8,0.400000006,18.9,10.62540817,14.43716335,5.961323261,14.09088516,2.743593931,12.82829857,4.474987984,0.319642007,3.894304991,4.911831856,19.16253853,7.74599123,4.895850182,67.79280853,51,38.3,7.1,15.91010729,13.99543946,1.914667818,33968,34503,535,5.702083323
34340,"Mount Airy, NC Micro Area"," 72,315 ",1.990093589,1.995751619,2.140843391,2.120286703,2.130075693,2.122244439,2.14475894,2.163357973,0.463996261,0.461059561,0.46791181,0.460080653,0.492384192,0.480637467,0.472806301,0.47672186,7.9,22.6,14.6,13.9,10.9,8.2,17.6,3.7,0.6,0.400000006,10.2,5.314250469,2.793884993,9.867553711,15.07314205,2.223906279,13.56747532,4.935424328,0.882973135,4.121639252,6.922113895,22.52569771,8.816552162,3.433052301,62.25047684,38,30,10.9,20.56239121,23.17331624,-2.61092504,37345,39071,1726,6.174552388
