state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
NC,Moore,0.58749369641956628,1983,NC,Moore,0.30583433938671267,11968890267,NC,Moore,16.525333863739945,NC,Moore,5.4561885654959346,117982,NC,Moore,96673,NC,Moore
NC,New Hanover,0.32550247977029495,3831,NC,New Hanover,0.50007600302574462,23122954419,NC,New Hanover,51.152944139319828,NC,New Hanover,10.884109511817824,319530,NC,New Hanover,304562,NC,New Hanover
NC,Haywood,0.50403225806451613,744,NC,Haywood,0.36771308800710673,4490597256,NC,Haywood,23.299648125075318,NC,Haywood,5.6648397696899764,60864,NC,Haywood,53069,NC,Haywood
NC,Duplin,0.5089285714285714,112,NC,Duplin,0.36408293557033505,676003888,NC,Duplin,22.963976338584494,NC,Duplin,6.9397862319132733,20921,NC,Duplin,31298,NC,Duplin
NC,Randolph,0.41111111111111109,1710,NC,Randolph,0.43660531425161797,10321130790,NC,Randolph,34.490988620666364,NC,Randolph,9.2111804600847815,118908,NC,Randolph,114276,NC,Randolph
NC,Camden,0.79891304347826086,184,NC,Camden,0.14908692539559965,1110577816,NC,Camden,7.0299562470801229,NC,Camden,1.0390497014382472,5309,NC,Camden,5480,NC,Camden
NC,Stanly,0.50960118168389956,677,NC,Stanly,0.36358425879541667,4086202073,NC,Stanly,23.067675781048742,NC,Stanly,7.4339416145132873,51469,NC,Stanly,50741,NC,Stanly
NC,Cherokee,0.8347457627118644,472,NC,Cherokee,0.12252035921195867,2848873528,NC,Cherokee,6.7399496022798457,NC,Cherokee,2.2595339078495287,39291,NC,Cherokee,39938,NC,Cherokee
NC,Columbus,0.61386138613861385,202,NC,Columbus,0.28628519578239847,1219221298,NC,Columbus,14.3679645304495,NC,Columbus,6.2367479923443412,14382,NC,Columbus,12230,NC,Columbus
NC,Nash,0.51717902350813738,1106,NC,Nash,0.3579660070785895,6675538394,NC,Nash,21.284164149176437,NC,Nash,5.10959546127659,81864,NC,Nash,85569,NC,Nash
NC,Warren,0.2857142857142857,14,NC,Warren,0.5295751790113965,84500486,NC,Warren,64.477052238336171,NC,Warren,10.064648234928994,4628,NC,Warren,4117,NC,Warren
NC,Chatham,0.45364238410596025,604,NC,Chatham,0.40507240513785625,3645592396,NC,Chatham,34.747308294895582,NC,Chatham,9.3180556635667049,80298,NC,Chatham,64284,NC,Chatham
NC,Scotland,0.73775216138328525,694,NC,Scotland,0.19443192451311789,4188809806,NC,Scotland,9.4525996945136068,NC,Scotland,3.2425888083675356,21452,NC,Scotland,21497,NC,Scotland
NC,Cabarrus,0.44246489205617273,4771,NC,Cabarrus,0.41335945643228683,28796558479,NC,Cabarrus,30.735083604577206,NC,Cabarrus,8.5220711408693983,313818,NC,Cabarrus,303645,NC,Cabarrus
NC,Perquimans,0.8839285714285714,112,NC,Perquimans,0.086055966589351926,676003888,NC,Perquimans,4.53984297917606,NC,Perquimans,0.92165516174545492,13940,NC,Perquimans,11528,NC,Perquimans
NC,Guilford,0.38630611429332623,7507,NC,Guilford,0.45499586913383572,45310367743,NC,Guilford,40.523046539532629,NC,Guilford,10.827148573672163,628763,NC,Guilford,547347,NC,Guilford
NC,Carteret,0.4056047197640118,678,NC,Carteret,0.44068778170830364,4092237822,NC,Carteret,37.492211701526365,NC,Carteret,9.4104663211479718,67184,NC,Carteret,72298,NC,Carteret
NC,Vance,0.656,375,NC,Vance,0.25504340621188853,2263405875,NC,Vance,9.6429551724532363,NC,Vance,2.0849169005107746,20593,NC,Vance,19005,NC,Vance
NC,Rutherford,0.67367256637168138,904,NC,Rutherford,0.24194087271206496,5456317096,NC,Rutherford,9.22520793045691,NC,Rutherford,2.4175756978529903,68035,NC,Rutherford,64621,NC,Rutherford
NC,Martin,0.42391304347826086,92,NC,Martin,0.42711389437658281,555288908,NC,Martin,30.549520394310786,NC,Martin,5.22193461457058,9220,NC,Martin,8635,NC,Martin
NC,Watauga,0.463030303030303,825,NC,Watauga,0.39811215275499162,4979492925,NC,Watauga,27.519760750054076,NC,Watauga,9.6724897431167633,72976,NC,Watauga,90202,NC,Watauga
NC,Transylvania,0.66414523449319218,661,NC,Transylvania,0.24900448659113769,3989630089,NC,Transylvania,12.007399270416041,NC,Transylvania,2.8472796033043939,44615,NC,Transylvania,37513,NC,Transylvania
NC,Mitchell,0.47126436781609193,87,NC,Mitchell,0.39200737388889578,525110163,NC,Mitchell,26.603853639636181,NC,Mitchell,7.0526026954712808,8204,NC,Mitchell,10168,NC,Mitchell
NC,Polk,0.6506550218340611,229,NC,Polk,0.25900620108854322,1382186521,NC,Polk,9.9951513651891286,NC,Polk,1.7558662654740333,23793,NC,Polk,26971,NC,Polk
NC,Mecklenburg,0.47034909412284576,33945,NC,Mecklenburg,0.39268596261081912,204883499805,NC,Mecklenburg,27.553344626497289,NC,Mecklenburg,9.2802746596386889,2532294,NC,Mecklenburg,2547177,NC,Mecklenburg
NC,Anson,0.43243243243243246,37,NC,Anson,0.42079757467392043,223322713,NC,Anson,36.285652040367189,NC,Anson,9.5665925668940641,8314,NC,Anson,7626,NC,Anson
NC,Craven,0.5820728291316527,1785,NC,Craven,0.30985339885686414,10773811965,NC,Craven,15.981149466920639,NC,Craven,5.1573826784138683,110994,NC,Craven,90129,NC,Craven
NC,Avery,0.49324324324324326,296,NC,Avery,0.37571212024457179,1786581704,NC,Avery,24.499107167149624,NC,Avery,10.232855258369984,21160,NC,Avery,21277,NC,Avery
NC,Macon,0.82442748091603058,1310,NC,Macon,0.13017038751272492,7906831190,NC,Macon,5.46988814777327,NC,Macon,0.79813909395900418,79360,NC,Macon,77728,NC,Macon
NC,Jackson,0.86296006264682845,1277,NC,Jackson,0.10160212909772288,7707651473,NC,Jackson,3.5033597601351816,NC,Jackson,0.71494834145319153,79412,NC,Jackson,81440,NC,Jackson
NC,Currituck,0.64864864864864868,518,NC,Currituck,0.2604937367029031,3126517982,NC,Currituck,10.331051983962999,NC,Currituck,2.189959210471049,28542,NC,Currituck,28519,NC,Currituck
NC,Person,0.54294478527607359,326,NC,Person,0.33886313601772178,1967654174,NC,Person,19.802745144365765,NC,Person,8.0216036892347216,35453,NC,Person,28816,NC,Person
NC,Wake,0.34527094831911692,31888,NC,Wake,0.4854195566470117,192467964112,NC,Wake,50.809408106890551,NC,Wake,11.245102102622157,5623117,NC,Wake,2474288,NC,Wake
NC,Catawba,0.43069077422345853,2157,NC,Catawba,0.42208884921483208,13019110593,NC,Catawba,33.19073461060173,NC,Catawba,9.4058626993009575,151476,NC,Catawba,127753,NC,Catawba
NC,Pasquotank,0.39839034205231388,497,NC,Pasquotank,0.44603655922368324,2999767253,NC,Pasquotank,42.207679410183751,NC,Pasquotank,10.934461004241481,40350,NC,Pasquotank,30847,NC,Pasquotank
NC,Gates,0.53488372093023251,43,NC,Gates,0.34483965144928141,259537207,NC,Gates,18.347542681174978,NC,Gates,2.6899580742320524,2986,NC,Gates,3136,NC,Gates
NC,Hyde,0.5,4,NC,Hyde,0.37070262530797754,24142996,NC,Hyde,14.556999872441731,NC,Hyde,25.152247260607375,1638,NC,Hyde,1450,NC,Hyde
NC,Alexander,0.4296028880866426,277,NC,Alexander,0.42289541370873968,1671902473,NC,Alexander,36.240213946039631,NC,Alexander,9.2262055208637346,20689,NC,Alexander,17261,NC,Alexander
NC,Buncombe,0.44661563255439163,4964,NC,Buncombe,0.41028207563296304,29961458036,NC,Buncombe,30.798083921268123,NC,Buncombe,8.62135297877566,418340,NC,Buncombe,342865,NC,Buncombe
NC,Burke,0.5625,1040,NC,Burke,0.32436479714448035,6277178960,NC,Burke,17.147828762653013,NC,Burke,5.2520988504663713,77290,NC,Burke,88708,NC,Burke
NC,Wilson,0.44444444444444442,504,NC,Wilson,0.41189180589775282,3042017496,NC,Wilson,29.908112086767524,NC,Wilson,10.274556304257581,53706,NC,Wilson,53622,NC,Wilson
NC,Bertie,0.93548387096774188,31,NC,Bertie,0.047832596813932586,187108219,NC,Bertie,3.2036963883573026,NC,Bertie,0.621186943209522,5092,NC,Bertie,4396,NC,Bertie
NC,Alleghany,0.39344262295081966,122,NC,Alleghany,0.4497048241441039,736361378,NC,Alleghany,33.289484062256768,NC,Alleghany,33.707119318221018,7353,NC,Alleghany,7718,NC,Alleghany
NC,Wilkes,0.55295429208472691,897,NC,Wilkes,0.33144203511371012,5414066853,NC,Wilkes,19.669661290032391,NC,Wilkes,7.8379652127879993,51119,NC,Wilkes,56235,NC,Wilkes
NC,Rockingham,0.49886363636363634,880,NC,Rockingham,0.37154513127458655,5311459120,NC,Rockingham,24.130919294121831,NC,Rockingham,8.2699468583700533,52174,NC,Rockingham,42451,NC,Rockingham
NC,Washington,0.46774193548387094,62,NC,Washington,0.39461892371494384,374216438,NC,Washington,28.483183771608676,NC,Washington,11.265456851954438,5345,NC,Washington,5037,NC,Washington
NC,Surry,0.505711318795431,963,NC,Surry,0.36646822356510345,5812426287,NC,Surry,23.580955201941553,NC,Surry,8.99907550615748,61272,NC,Surry,80341,NC,Surry
NC,Beaufort,0.84615384615384615,104,NC,Beaufort,0.11406234624860846,627717896,NC,Beaufort,11.134809650213485,NC,Beaufort,2.6111373421576589,47003,NC,Beaufort,52354,NC,Beaufort
NC,Cumberland,0.51182401466544458,5455,NC,Cumberland,0.36193623875165687,32925010795,NC,Cumberland,22.857161120518274,NC,Cumberland,8.5075567904694367,429821,NC,Cumberland,468927,NC,Cumberland
NC,Chowan,0.67721518987341767,158,NC,Chowan,0.2393143530469222,953648342,NC,Chowan,9.67784149532052,NC,Chowan,2.2529136279052482,14228,NC,Chowan,12684,NC,Chowan
NC,Lincoln,0.49312714776632305,1164,NC,Lincoln,0.37579819404073322,7025611836,NC,Lincoln,23.871012051638363,NC,Lincoln,8.9801980340600966,95419,NC,Lincoln,92031,NC,Lincoln
NC,Pender,0.35589519650655022,916,NC,Pender,0.47754268325700161,5528746084,NC,Pender,44.718370044489404,NC,Pender,10.202004417425851,54330,NC,Pender,52217,NC,Pender
NC,Robeson,0.49090909090909091,495,NC,Robeson,0.37744267304084983,2987695755,NC,Robeson,24.980137187497487,NC,Robeson,8.880918422243381,43458,NC,Robeson,37921,NC,Robeson
NC,Lee,0.48401826484018262,1752,NC,Lee,0.38255156766941972,10574632248,NC,Lee,25.35279485521016,NC,Lee,7.0872998178826432,120076,NC,Lee,125417,NC,Lee
NC,Franklin,0.74884792626728114,434,NC,Franklin,0.18620546616852326,2619515066,NC,Franklin,7.018363547970738,NC,Franklin,0.98303962159100045,43767,NC,Franklin,43921,NC,Franklin
NC,Alamance,0.41962616822429905,2140,NC,Alamance,0.4302922061986057,12916502860,NC,Alamance,32.894820387429519,NC,Alamance,9.3105385645076311,155409,NC,Alamance,156982,NC,Alamance
NC,Greene,0.62745098039215685,51,NC,Greene,0.27620979924908129,307823199,NC,Greene,15.832441142045196,NC,Greene,4.40721101298394,13275,NC,Greene,8467,NC,Greene
NC,Lenoir,0.56834532374100721,556,NC,Lenoir,0.32003104343134747,3355876444,NC,Lenoir,15.636776858642303,NC,Lenoir,9.12660575934807,37681,NC,Lenoir,35586,NC,Lenoir
